dam_ID,dam_name,dam_height,storage,file,permit,water_right,exempt_category,river,basin,county,wm_district,wm_region,meridian,township,township_char,range,range_char,sctn,latitude,longitude,last_inspection_state,next_inspection,hazard
OR02061,Jones and Bryant Reservoir,10,11.8,J-12,R-5833,Cert:49121 OR *,,Ashland Creek,15,JACK,13,SW REGION,WM,38,S,1,E,32,42.2149887,-122.72068023,2010-02-02,2016,L
OR02062,Jongeneel Animal Waste Lagoon,11,15.2,LG-34,R-8165,Cert:52074 OR *,,Off channel: Animal waste,2,MARI,16,NW REGION,WM,6,S,1,E,7,45.0685997,-122.73033905,2010-12-16,2016,L
OR02080,Keeney Creek,13,43.6,K-17,R-2067,Cert:36044 OR *,FEDERAL,Keeney & Drake Creeks,5,CROO,11,SC REGION,WM,17,S,20,E,22,44.08428055,-120.31070277,,,L
OR02101,Kinzua,27,40,K-15,R-1661,Cert:30230 OR *,,,6,WHEE,21,NC REGION,WM,7,S,22,E,12,44.97528839,-120.04762268,2014-09-30,2020,L
OR02103,Kivett 1,18,30,K-29a,R-1174,Cert:29934 OR *,,Unnamed,10,BAKE,9,E REGION,WM,14,S,43,E,23,44.34159088,-117.42687988,2012-10-03,2018,L
OR02104,Kivett 2,17,23,K-29b,R-1175,Cert:29936 OR *,,Unnamed,10,BAKE,9,E REGION,WM,14,S,43,E,23,44.34046936,-117.42030334,2012-10-03,2018,L
OR02109,Koehnke,20,11.7,K-36,R-4663,Cert:40829 OR *,,North Branch Campbell Creek,2,WASH,18,NW REGION,WM,1,S,3,W,34,45.44477844,-123.04633331,2010-11-02,2016,L
OR02123,Kunz Dam,20,45,K-8,R-1008,Cert:21853 OR *,,Martin Creek,2,YAMH,16,NW REGION,WM,4,S,3,W,6,45.24728012,-123.09761047,2009-04-06,2015,L
OR02124,Kyllo Reservoir,21,44,K-13,R-1578,Cert:26450 OR *,,Unnamed,2,CLAC,16,NW REGION,WM,5,S,1,E,11,45.15636062,-122.66053771,2015-11-13,2021,L
OR02128,L.R.M. Pond,12,19.8,L-7,R-6128,Cert:51794 OR *,,"Christensen Creek, Trib to",2,WASH,18,NW REGION,WM,1,S,2,W,31,45.44522857,-122.98191833,2008-05-29,2014,L
OR02133,Lake Camp Baldwin,23,49.1,L-1,R-4526,Cert:36812 OR *,,"Ditch via Eight Mile Creek, Trib Columbia River",4,WASC,3,NC REGION,WM,2,S,11,E,9,45.40578842,-121.42098236,2012-11-06,2018,L
OR02137,Payne Lake No. 1,18.5,30,P-33,R-2050,Cert:30410 OR *,,Unnamed; Trib to Willamette,2,MARI,16,NW REGION,WM,9,S,3,W,5,44.8133316,-123.08611297,2009-01-21,2015,L
OR02172,Lester James Reservoir 2,15,29,J-11,R-1855,Cert:23968 OR *,,Snyder Creek,15,JACK,13,SW REGION,WM,35,S,2,W,33,42.48981857,-122.94793701,2014-02-03,2017,S
OR02182,Lippert Reservoir #1 (Lower),23,41,L-13b,R-1845,Cert:27472 OR *,,Powel Creek & Slough,15,JOSE,14,SW REGION,WM,38,S,5,W,11,42.27352142,-123.26055145,2013-06-17,2019,L
OR02196,Little Hyatt Reservoir,15,20,H-56,,,FEDERAL,Keene Creek,14,JACK,13,SW REGION,WM,39,S,3,E,20,42.15903091,-122.48567199,,,S
OR02200,Little North Woahink Lake,10,45,L-16,R-2685,Cert:31076 OR *,,,18,LANE,15,SW REGION,WM,19,S,12,W,11,43.93400955,-124.09078979,2012-02-16,2018,L
OR02209,Little Reservoir 5,18.4,20.5,L-21a,R-5043,Cert:40192 OR *,,,14,KLAM,17,SC REGION,WM,37,S,15,E,21,42.34178924,-120.94297027,2009-06-09,2015,L
OR02210,Little Reservoir 6,12,12.7,L-21b,R-5044,Cert:40193 OR *,,,14,KLAM,17,SC REGION,WM,37,S,15,E,28,42.33958816,-120.95465087,2010-11-05,2016,L
OR02213,Little Sandy,15,2011.43,L-52,,,,,3,CLAC,20,NW REGION,WM,2,S,5,E,10,45.41500555,-122.17750555,,,L
OR02218,Little Snake Reservoir,12.4,10,L-18,R-7319,Cert:74516 OR *,FEDERAL,Rattlesnake Creek Trib to,11,MALH,9,E REGION,WM,37,S,44,E,33,42.31809997,-117.55426788,,,L
OR02241,HR Kuehne Log Pond,16,22.4,LP-69,R-1587,Cert:24086 OR *,,Millican Creek,2,YAMH,16,NW REGION,WM,3,S,3,W,30,45.27418899,-123.09954071,2009-05-08,2015,L
