year,type,value
1940,Natural,0.038481323909707044
1941,Natural,0.04334242216094708
1942,Natural,-0.0022997736993488616
1943,Natural,0.014393475533324818
1944,Natural,0.07887384016595433
1945,Natural,0.07752029960312257
1946,Natural,0.08586464488018919
1947,Natural,0.106766947361848
1948,Natural,0.07619890784292238
1949,Natural,0.10085114682027552
1950,Natural,0.10247652919633765
1951,Natural,0.08148962546323446
1952,Natural,0.03005713103357266
1953,Natural,0.04004094109853895
1954,Natural,0.05373275747064099
1955,Natural,0.0301662530878275
1956,Natural,0.08782399955242681
1957,Natural,0.07410489092279704
1958,Natural,0.06395118699367686
1959,Natural,0.06081556244299691
1960,Natural,0.10443898983277222
1961,Natural,0.08499228764202371
1962,Natural,0.0721788292327119
1963,Natural,0.025838109744142912
1964,Natural,-0.16655245905729998
1965,Natural,-0.14359555916149702
1966,Natural,-0.07708523371189813
1967,Natural,-0.011439806485952886
1968,Natural,-0.033415155584009426
1969,Natural,-0.024143839379291876
1970,Natural,-0.02590181311171591
1971,Natural,-0.015427001067791934
1972,Natural,0.04895372533445652
1973,Natural,0.056576462028829155
1974,Natural,0.059561182611275854
1975,Natural,0.0028393730935363237
1976,Natural,-0.04995977474123947
1977,Natural,-0.015536802473434363
1978,Natural,0.01819814780640172
1979,Natural,0.04367984474623654
1980,Natural,0.040679017920638216
1981,Natural,0.08904016386435387
1982,Natural,-0.04470431658074858
1983,Natural,-0.29284802048459824
1984,Natural,-0.18341734634969953
1985,Natural,-0.0901784501338625
1986,Natural,-0.09200349962713972
1987,Natural,-0.006817556504529421
1988,Natural,0.008016013536405353
1989,Natural,0.023122517872991466
1990,Natural,0.040681980491797276
1991,Natural,-0.05286917009186709
1992,Natural,-0.3645387254210277
1993,Natural,-0.26837139807219046
1994,Natural,-0.16463516930889455
1995,Natural,-0.05384869264855752
1996,Natural,-0.018782557043323322
1997,Natural,0.022823650739212553
1998,Natural,0.02385404057827145
1999,Natural,0.07257242605072634
2000,Natural,0.07380474741904663
2001,Natural,0.0834551779075241
2002,Natural,0.1022158966542861
2003,Natural,0.09107098138497349
2004,Natural,0.11660930684718096
2005,Natural,0.1617665303334661
